,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm,scoring,id,segmento,lead_category
354,API,Chat,No,No,0,2,98,1.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,17.0,16.0,No,0.7286918251536703,637387,5,Medium
355,Landing Page Submission,Google,No,No,1,4,874,4.0,SMS Sent,OTROS,Working Professional,No,No,No,No,No,No,14.0,16.0,No,0.9560579657607815,616003,4,Hot
356,API,Google,No,No,0,4,452,1.33,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.05708027446350632,612846,5,Cold
357,API,Google,No,No,0,3,116,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.1008000571832661,624486,1,Cold
358,Landing Page Submission,Google,No,No,1,3,94,1.5,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No,0.2194033902647687,654051,2,Cold
359,API,Google,No,No,1,2,1416,1.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No,0.993299475682966,597516,4,Hot
360,Landing Page Submission,Direct Traffic,No,No,0,4,289,4.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes,0.14965724976668549,585409,2,Cold
361,Landing Page Submission,Google,No,No,1,4,827,4.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.17587309541035648,612740,0,Cold
362,API,OTROS,No,No,0,1,153,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.043447097511584154,628832,5,Cold
363,Landing Page Submission,Google,No,No,0,4,229,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No,0.45003574342306435,587160,3,Cold
364,Landing Page Submission,Google,No,No,1,4,701,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No,0.7207279763174045,637909,0,Medium
365,Landing Page Submission,Direct Traffic,No,No,0,2,70,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.06838384789354256,653432,2,Cold
366,Landing Page Submission,Google,No,No,0,6,250,6.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.18294802703032467,632237,2,Cold
367,Landing Page Submission,Google,No,No,1,6,1202,3.0,Page Visited on Website,OTROS,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes,0.6172293773960743,611283,0,Cold
368,Landing Page Submission,Direct Traffic,No,No,0,2,460,2.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.15775692682859568,608440,2,Cold
369,Landing Page Submission,Direct Traffic,No,No,1,5,1880,5.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.7047707634944289,614222,2,Medium
370,API,Google,No,No,0,2,239,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.09932461127276422,582678,1,Cold
371,API,Google,No,No,0,3,131,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.08334893032780369,641934,1,Cold
372,Landing Page Submission,Direct Traffic,No,No,0,3,718,3.0,OTROS,OTROS,Unemployed,No,No,No,No,No,No,13.0,14.0,Yes,0.09115852804634987,659074,3,Cold
373,Landing Page Submission,Organic Search,No,No,0,5,1050,2.5,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.3528450220229481,585381,2,Cold
374,Landing Page Submission,Direct Traffic,No,No,0,5,1399,1.67,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.2983034603924178,587889,3,Cold
375,Landing Page Submission,Google,No,No,1,3,1031,3.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6694864051052754,612288,0,Medium
376,Landing Page Submission,Google,No,No,0,4,400,4.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.16567090539979726,630715,2,Cold
377,Landing Page Submission,Organic Search,No,No,0,3,215,3.0,Converted to Lead,Travel and Tourism,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.03269708185109002,608175,3,Cold
378,API,Google,No,No,0,1,419,1.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.1497774878741819,610139,5,Cold
379,Landing Page Submission,Google,No,No,1,8,1562,2.67,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6650688620926605,629598,2,Medium
380,Landing Page Submission,Direct Traffic,No,No,0,1,1077,1.0,Converted to Lead,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,16.0,18.0,Yes,0.5268504765516032,591485,3,Cold
381,Landing Page Submission,Direct Traffic,No,No,1,2,340,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes,0.1317492414282727,652863,2,Cold
382,Landing Page Submission,Direct Traffic,No,No,0,2,270,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,16.0,17.0,Yes,0.38397225526102025,644954,2,Cold
383,API,Google,No,No,0,2,156,2.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.04379193572890237,654224,5,Cold
384,Landing Page Submission,Google,No,No,1,4,1115,4.0,Page Visited on Website,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.2776204239821778,613289,0,Cold
385,API,Organic Search,No,No,1,3,1228,1.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.7423408970518242,594407,0,Medium
386,Landing Page Submission,Google,No,No,1,4,1944,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.9033714461204754,579717,0,Hot
387,Landing Page Submission,Direct Traffic,No,No,0,2,989,2.0,OTROS,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.36776689252248235,596160,3,Cold
388,API,Google,No,No,0,1,79,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.028682170674273987,631479,5,Cold
389,API,Organic Search,No,No,0,3,570,3.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No,0.027619075011856054,659407,5,Cold
390,API,Organic Search,No,No,0,3,272,3.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.04025494408812868,601379,5,Cold
391,Landing Page Submission,Direct Traffic,No,No,0,11,594,3.67,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,15.0,13.0,Yes,0.22808458624615174,582938,2,Cold
392,API,Chat,No,No,0,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.25647620127668264,643296,5,Cold
393,API,Google,No,No,1,2,717,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.26026771547251043,627366,1,Cold
394,Landing Page Submission,Direct Traffic,No,No,1,18,217,1.64,Page Visited on Website,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,15.0,19.0,No,0.24730101149248965,607115,0,Cold
395,API,Organic Search,No,No,1,9,1125,9.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.5941492724777911,654525,1,Cold
396,Landing Page Submission,Google,No,No,0,6,71,6.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.09506974472350387,643320,2,Cold
397,Landing Page Submission,Google,No,No,1,7,146,3.5,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.25190801380659905,623265,0,Cold
398,API,Google,No,No,0,6,1308,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.5391011694628095,615753,1,Cold
399,Landing Page Submission,Organic Search,No,No,0,3,1168,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes,0.42318389930307343,582875,2,Cold
400,Landing Page Submission,Google,No,No,1,2,1122,2.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6920387111906618,621213,0,Medium
401,API,Chat,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No,0.6185746134745918,580635,0,Cold
402,Landing Page Submission,Direct Traffic,No,No,0,2,1502,2.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes,0.9136524942633095,648481,2,Hot
403,API,Chat,No,No,0,4,164,1.33,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.3638864045520662,608470,1,Cold
404,API,Google,No,No,0,3,1114,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.4344977749597786,613814,1,Cold
405,API,Google,No,No,0,3,449,1.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.391764709067169,628534,5,Cold
406,Landing Page Submission,Organic Search,No,No,1,10,1537,10.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.8218796881491963,604908,0,Hot
407,Landing Page Submission,Google,No,No,1,5,1205,5.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.4544027547259793,620704,2,Cold
408,Landing Page Submission,Google,No,No,1,4,1396,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No,0.783087394572429,640974,2,Hot
409,Landing Page Submission,Direct Traffic,No,No,0,3,536,3.0,OTROS,Finance Management,Unemployed,No,No,No,No,No,No,9.0,18.0,Yes,0.006622179740206199,659567,3,Cold
410,Landing Page Submission,Google,No,No,0,10,59,3.33,Email Opened,Finance Management,Student,No,No,No,No,No,No,14.0,19.0,No,0.25378792252420357,652569,2,Cold
411,API,Google,No,No,0,4,45,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No,0.09280210325931415,584303,5,Cold
412,Landing Page Submission,Google,No,No,0,27,340,3.38,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.23245734620870173,589466,2,Cold
413,Landing Page Submission,Direct Traffic,No,No,0,8,96,8.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.20370955889032993,614229,3,Cold
414,API,Google,No,No,1,4,1088,4.0,Page Visited on Website,Supply Chain Management,Working Professional,No,No,No,No,No,No,16.0,18.0,No,0.9904711671477743,657033,4,Hot
415,Landing Page Submission,Direct Traffic,No,No,0,3,2087,3.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes,0.9486551375307226,585977,3,Hot
416,Landing Page Submission,Direct Traffic,No,No,1,4,754,2.0,Page Visited on Website,International Business,Working Professional,No,No,No,No,No,No,14.0,18.0,Yes,0.6986827059170704,645790,4,Medium
417,API,Google,No,No,0,6,247,6.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.10641626125556657,634685,1,Cold
418,API,Organic Search,No,No,1,3,235,1.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.2979605673417949,596654,0,Cold
419,API,Google,No,No,0,3,1039,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6677515001865278,615865,5,Medium
420,Landing Page Submission,Google,No,No,1,4,686,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.2501492527972021,601070,2,Cold
421,Landing Page Submission,Organic Search,No,No,0,5,294,5.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes,0.09199595389815379,645285,2,Cold
422,Landing Page Submission,Direct Traffic,No,No,0,2,37,2.0,Chat Conversation,IT Projects Management,Student,No,No,No,No,No,No,14.0,16.0,Yes,0.040910136401723945,594222,3,Cold
423,API,Chat,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.42789831422283164,581991,0,Cold
424,Landing Page Submission,Google,No,No,1,10,1467,10.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,15.0,19.0,Yes,0.8656133034378555,645089,2,Hot
425,Landing Page Submission,Google,No,No,1,14,1442,2.8,Chat Conversation,Finance Management,Unemployed,No,No,No,No,No,No,16.0,20.0,Yes,0.8228492832973284,604199,0,Hot
426,API,Google,No,No,1,7,1522,7.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.9457630788362525,612248,0,Hot
427,Lead Add Form,Reference,No,No,1,0,0,0.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No,0.6233404518198113,628499,5,Medium
428,Landing Page Submission,Direct Traffic,No,No,0,3,308,1.5,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,10.0,19.0,No,0.013330295792238846,654613,2,Cold
429,Landing Page Submission,Direct Traffic,No,No,1,2,1650,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,13.0,17.0,Yes,0.732254808347807,596376,0,Medium
430,API,Google,No,No,0,1,649,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.08143415875371925,615912,5,Cold
431,API,Google,No,No,1,23,1341,2.09,SMS Sent,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No,0.9477135056686556,583534,0,Hot
432,Landing Page Submission,Google,No,No,1,6,329,3.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.30821989706381414,586633,2,Cold
433,Landing Page Submission,Google,No,No,1,2,1041,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No,0.7985290819382203,583069,0,Hot
434,API,Google,No,No,1,3,717,1.5,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,15.0,18.0,No,0.9798279055776187,652227,4,Hot
435,Landing Page Submission,Google,No,No,0,3,242,3.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,18.0,No,0.18014986270638877,654429,2,Cold
436,Landing Page Submission,Direct Traffic,No,No,0,2,133,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes,0.45848990904260833,638694,3,Cold
437,API,Direct Traffic,No,No,1,10,1324,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.7732409677278527,593916,0,Hot
438,API,Google,No,No,0,2,1303,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.46192032923384213,641907,1,Cold
439,Landing Page Submission,Organic Search,No,No,0,6,87,6.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes,0.10763203546726714,590357,2,Cold
440,Landing Page Submission,Organic Search,No,No,0,6,397,6.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.33418748286257643,597849,3,Cold
441,API,Chat,No,No,0,0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.06439246212628628,584702,5,Cold
442,Landing Page Submission,Direct Traffic,No,No,1,2,931,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes,0.40838536659438757,644065,2,Cold
443,Landing Page Submission,Google,No,No,1,5,1411,5.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.8056612106990335,613688,0,Hot
444,Landing Page Submission,Google,No,No,0,2,216,2.0,Converted to Lead,International Business,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.041390462852605656,640494,3,Cold
445,API,Chat,No,No,0,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.30446826648913794,601745,5,Cold
446,Landing Page Submission,Direct Traffic,No,No,1,2,1284,2.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes,0.58579824066935,580188,2,Cold
447,Landing Page Submission,Direct Traffic,No,No,0,7,28,2.33,Email Link Clicked,Operations Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes,0.3535539286273755,590337,3,Cold
448,Landing Page Submission,Google,No,No,0,5,425,5.0,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,13.0,17.0,No,0.24433643960635995,652937,3,Cold
449,Landing Page Submission,Direct Traffic,No,No,1,11,746,2.75,SMS Sent,OTROS,Working Professional,No,No,No,No,No,No,14.0,16.0,Yes,0.931669738844252,622072,4,Hot
450,API,Google,No,No,1,3,981,3.0,Email Opened,Human Resource Management,Working Professional,No,No,No,No,No,No,14.0,15.0,No,0.9387348259223455,652250,4,Hot
451,Landing Page Submission,Direct Traffic,No,No,0,4,73,4.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,OTROS,No,15.0,17.0,No,0.43959317630608524,594705,3,Cold
452,Landing Page Submission,Direct Traffic,No,No,1,3,294,3.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,14.0,16.0,Yes,0.7856932813512013,629645,4,Hot
453,Lead Add Form,Reference,No,No,1,0,0,0.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6623252485917388,621583,1,Medium
454,API,Chat,No,No,0,11,8,1.38,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes,0.48921164716872,587802,1,Cold
455,Landing Page Submission,Direct Traffic,No,No,0,4,236,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,10.0,18.0,Yes,0.006598051593133873,590153,2,Cold
456,API,Google,No,No,1,4,926,4.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,16.0,Yes,0.9805041524234605,612639,4,Hot
457,Lead Add Form,Reference,No,No,0,0,0,0.0,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,19.0,No,0.7874201076153426,588029,5,Hot
458,API,Organic Search,No,No,0,6,198,6.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.12041363355074257,604986,1,Cold
459,Landing Page Submission,Direct Traffic,No,No,1,2,1496,2.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,14.0,16.0,Yes,0.9759560105895815,611567,4,Hot
460,Landing Page Submission,Organic Search,No,No,0,6,203,6.0,SMS Sent,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.2934065915957458,604204,3,Cold
461,Landing Page Submission,Google,No,No,1,2,849,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.5724980482440415,608436,0,Cold
462,Landing Page Submission,Organic Search,No,No,0,3,261,3.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.16089603707643382,635693,2,Cold
463,Landing Page Submission,Google,No,No,0,4,395,2.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.4647211433877663,613035,3,Cold
464,API,Chat,No,No,1,10,1815,3.33,OTROS,Operations Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes,0.9784967874767422,658831,5,Hot
465,API,Organic Search,No,No,0,6,1439,6.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.8192400400154892,593946,5,Hot
466,API,Chat,No,No,1,0,0,0.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,15.0,16.0,No,0.47920307100274223,586544,1,Cold
467,Landing Page Submission,Direct Traffic,No,No,0,11,269,1.83,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes,0.450267241274989,591120,2,Cold
468,API,Google,No,No,0,2,139,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.03256859819677953,630784,5,Cold
469,Lead Add Form,Reference,No,No,1,0,0,0.0,SMS Sent,Supply Chain Management,Working Professional,No,No,No,No,No,No,14.0,19.0,No,0.9933128493731026,587918,4,Hot
470,Landing Page Submission,Direct Traffic,No,No,0,1,60,1.0,Converted to Lead,IT Projects Management,Student,No,No,No,No,No,No,14.0,16.0,Yes,0.044024883786299596,598894,3,Cold
471,API,Google,No,No,1,2,1164,1.0,OTROS,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.696039285745976,611277,5,Medium
472,Landing Page Submission,Google,No,No,0,2,246,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.04416565513029295,618022,2,Cold
473,Landing Page Submission,Direct Traffic,No,No,1,5,586,5.0,Converted to Lead,OTROS,Working Professional,No,No,No,No,No,No,14.0,16.0,Yes,0.46847557922278615,633484,4,Cold
474,Landing Page Submission,Google,No,No,1,3,47,3.0,Page Visited on Website,OTROS,Unemployed,No,No,No,No,No,No,16.0,20.0,No,0.4143424652094563,580303,0,Cold
475,Landing Page Submission,Direct Traffic,No,No,0,3,363,3.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.10175743382848104,624973,2,Cold
476,Landing Page Submission,Direct Traffic,No,No,0,5,2,2.5,OTROS,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes,0.07316329376725271,630042,3,Cold
477,Lead Add Form,Reference,No,No,1,1,36,1.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6738536407327805,603647,1,Medium
478,Landing Page Submission,Direct Traffic,No,No,1,2,1587,2.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,13.0,No,0.4958263305160028,658231,2,Cold
479,Landing Page Submission,Direct Traffic,No,No,0,2,33,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes,0.09915616499284642,646915,2,Cold
480,Landing Page Submission,Google,No,No,1,4,1205,4.0,OTROS,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.5122228415416097,600793,0,Cold
481,Landing Page Submission,Google,No,No,0,1,1403,1.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.27684862290863455,622643,3,Cold
482,Landing Page Submission,Direct Traffic,No,No,0,4,11,4.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.165005169727158,616697,3,Cold
483,Landing Page Submission,Google,No,No,0,6,128,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.24258877201693602,596404,3,Cold
484,API,Google,No,No,0,2,344,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.036200949748615915,640021,5,Cold
485,Landing Page Submission,Google,No,No,0,7,1061,7.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.42661550149340344,621675,2,Cold
486,Landing Page Submission,Google,No,No,0,3,179,3.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,12.0,16.0,No,0.025057181785170416,651374,2,Cold
487,Landing Page Submission,Google,No,No,0,4,1663,4.0,Chat Conversation,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.3791787318534737,627035,3,Cold
488,API,Chat,No,No,0,0,0,0.0,Email Opened,Select,Student,No,No,No,No,No,No,14.0,16.0,No,0.18084342364531067,601887,1,Cold
489,Landing Page Submission,Direct Traffic,No,No,0,4,365,4.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.11793860778996819,632524,2,Cold
490,Landing Page Submission,Google,No,No,0,4,1382,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.4859248897810023,600829,2,Cold
491,Landing Page Submission,Direct Traffic,No,No,1,2,856,2.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,20.0,No,0.9274534436536249,581207,4,Hot
492,API,Google,No,No,1,7,953,3.5,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,18.0,Yes,0.7098675336428377,581125,1,Medium
493,Landing Page Submission,Organic Search,No,No,0,4,213,4.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.05056496330981276,601849,3,Cold
494,Landing Page Submission,Direct Traffic,No,No,1,3,32,3.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes,0.18649492619635358,583357,2,Cold
495,API,Google,No,No,0,4,113,4.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No,0.008238309965451072,646285,5,Cold
496,Landing Page Submission,Organic Search,No,No,1,3,1264,3.0,Converted to Lead,Human Resource Management,Working Professional,No,No,No,No,No,No,15.0,16.0,Yes,0.8494043820258397,642145,4,Hot
497,API,Organic Search,No,No,0,2,1456,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.8149581590921313,616901,5,Hot
498,Lead Add Form,Reference,No,No,1,0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6549508710240532,617711,1,Medium
499,API,Google,No,No,0,2,108,2.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No,0.1640721543762628,639022,5,Cold
500,Landing Page Submission,Google,No,No,0,5,220,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.12118769589105301,614828,2,Cold
501,OTROS,OTROS,No,No,1,3,1012,2.4,OTROS,OTROS,Unemployed,No,No,No,No,No,No,14.0,13.0,No,0.6391996431121693,654187,5,Medium
502,Landing Page Submission,Organic Search,No,No,1,18,1569,4.5,SMS Sent,Travel and Tourism,Working Professional,No,No,No,No,No,No,17.0,16.0,No,0.9988936636582498,646366,4,Hot
503,API,Organic Search,No,No,0,6,122,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.053202436153792054,587795,5,Cold
504,API,Chat,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.42789831422283164,647701,0,Cold
505,Landing Page Submission,Direct Traffic,No,No,1,6,402,3.0,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.27881647265760895,600967,0,Cold
506,Lead Add Form,Reference,No,No,1,0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,15.0,19.0,No,0.9964097122561351,643897,4,Hot
507,Landing Page Submission,Google,No,No,1,8,1232,4.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,18.0,No,0.6155923338468792,584298,2,Cold
508,Landing Page Submission,Direct Traffic,No,No,0,2,151,2.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes,0.23997554864717036,587249,3,Cold
509,Landing Page Submission,Organic Search,No,No,1,4,1378,4.0,OTROS,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.6182669514061886,656483,0,Cold
510,Landing Page Submission,Direct Traffic,No,No,0,2,13,2.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,13.0,18.0,Yes,0.04656848249235845,655162,2,Cold
511,Landing Page Submission,Organic Search,No,No,0,5,363,2.5,SMS Sent,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.3576303366825614,599590,3,Cold
